Year,Estimated Homeless Overdose Deaths
2016,13.844476
2017,21.650213
2018,30.019220999999998
2019,29.023355
2020,38.491262
2021,49.293213
2022,59.47279251660629
2023,51.35538772915336
2024,14.78460295244321
